claim_id,ml_risk_score,llm_risk_score,hybrid_risk_score,risk_level,recommendation,red_flags,model_breakdown,timestamp,product_type,claim_amount,location,claim_date
CLM-003427,10.01652364510364,0,6.009914187062184,LOW,APPROVE,[],"{'random_forest': 17.60992845369734, 'gradient_boosting': 8.931231477249748, 'isolation_forest': 0.0, 'neural_network': 13.524934649467468}",2025-11-01T11:24:04.855892,Property,89302.2957630818,Nyeri,2023-12-11 11:21:16.423663
CLM-002979,47.11523294501785,0,28.26913976701071,LOW,APPROVE,[],"{'random_forest': 63.61695065517424, 'gradient_boosting': 50.052156307239684, 'isolation_forest': 0.0, 'neural_network': 74.79182481765747}",2025-11-01T11:24:04.979855,Medical,12375.043153346956,Malindi,2024-01-09 11:21:16.422085
CLM-006896,31.24310889860341,0,18.745865339162044,LOW,APPROVE,[],"{'random_forest': 52.37113603791534, 'gradient_boosting': 39.61862829566456, 'isolation_forest': 0.0, 'neural_network': 32.98267126083374}",2025-11-01T11:24:05.118155,Medical,20393.069194570584,Garissa,2024-02-06 11:21:16.436136
CLM-004189,8.483330127645429,25,15.089998076587257,LOW,APPROVE,['High claim amount'],"{'random_forest': 19.260125662886487, 'gradient_boosting': 6.167549453369973, 'isolation_forest': 0.0, 'neural_network': 8.505645394325256}",2025-11-01T11:24:05.236597,Aviation,734563.0606656801,Eldoret,2024-10-21 11:21:16.426376
CLM-002718,19.2188844349922,0,11.531330660995321,LOW,APPROVE,[],"{'random_forest': 32.505683949039636, 'gradient_boosting': 9.09065430991873, 'isolation_forest': 0.0, 'neural_network': 35.27919948101044}",2025-11-01T11:24:05.366518,Property,256773.71994981373,Nairobi,2024-05-01 11:21:16.421154
CLM-004357,22.94596942264047,0,13.767581653584282,LOW,APPROVE,[],"{'random_forest': 47.166627934194594, 'gradient_boosting': 18.171703010113315, 'isolation_forest': 0.0, 'neural_network': 26.445546746253967}",2025-11-01T11:24:05.486208,Motor,181700.96195390183,Malindi,2024-06-10 11:21:16.426975
CLM-009360,39.38224982690514,25,33.62934989614308,LOW,APPROVE,['High claim amount'],"{'random_forest': 25.733828648568558, 'gradient_boosting': 15.904059761987789, 'isolation_forest': 100.0, 'neural_network': 15.891110897064209}",2025-11-01T11:24:05.602703,Life,926649.5426670582,Garissa,2024-04-28 11:21:16.444901
CLM-005858,25.05777915934693,0,15.034667495608156,LOW,APPROVE,[],"{'random_forest': 45.633617471509176, 'gradient_boosting': 29.26059881244684, 'isolation_forest': 0.0, 'neural_network': 25.3369003534317}",2025-11-01T11:24:05.721912,Marine,130503.44903565219,Nairobi,2025-02-03 11:21:16.432293
CLM-009176,40.62559541272767,0,24.3753572476366,LOW,APPROVE,[],"{'random_forest': 29.346871393446616, 'gradient_boosting': 11.196986268740313, 'isolation_forest': 100.0, 'neural_network': 21.958523988723755}",2025-11-01T11:24:05.842632,Property,40727.75272194064,Malindi,2025-01-12 11:21:16.444252
CLM-006948,14.982633827076434,20,16.98958029624586,LOW,APPROVE,['Insufficient documentation'],"{'random_forest': 27.396337359227125, 'gradient_boosting': 13.470428668168118, 'isolation_forest': 0.0, 'neural_network': 19.063769280910492}",2025-11-01T11:24:05.963679,Liability,76184.77764139697,Garissa,2025-08-19 11:21:16.436317
CLM-009370,52.851304579159475,35,45.710782747495685,LOW,APPROVE,"['Vague or excessive descriptions', 'Insufficient documentation']","{'random_forest': 58.34121541233872, 'gradient_boosting': 31.146831128004482, 'isolation_forest': 100.0, 'neural_network': 21.91717177629471}",2025-11-01T11:24:06.091918,Motor,13733.400031686464,Malindi,2024-08-18 11:21:16.444944
CLM-005533,20.139530056828477,0,12.083718034097085,LOW,APPROVE,[],"{'random_forest': 35.0165139328016, 'gradient_boosting': 12.223945009111915, 'isolation_forest': 0.0, 'neural_network': 33.31766128540039}",2025-11-01T11:24:06.209680,Property,18468.700232827534,Eldoret,2025-05-01 11:21:16.431147
CLM-005092,10.269640353045908,0,6.161784211827545,LOW,APPROVE,[],"{'random_forest': 14.990227451641141, 'gradient_boosting': 8.061368103990361, 'isolation_forest': 0.0, 'neural_network': 18.026965856552124}",2025-11-01T11:24:06.348974,Medical,93139.41809349651,Nyeri,2024-05-18 11:21:16.429576
CLM-007510,24.462109083833024,20,22.677265450299814,LOW,APPROVE,['Insufficient documentation'],"{'random_forest': 51.877995623388664, 'gradient_boosting': 21.885285582510743, 'isolation_forest': 0.0, 'neural_network': 24.085155129432678}",2025-11-01T11:24:06.482745,Liability,77895.26622944749,Nyeri,2024-06-06 11:21:16.438311
CLM-006499,13.340811159616923,20,16.004486695770154,LOW,APPROVE,['Insufficient documentation'],"{'random_forest': 25.82453899481085, 'gradient_boosting': 8.342417356017219, 'isolation_forest': 0.0, 'neural_network': 19.196288287639618}",2025-11-01T11:24:06.605341,Marine,6620.773777034469,Nairobi,2024-10-22 11:21:16.434655
CLM-005657,15.698817562465358,20,17.419290537479213,LOW,APPROVE,['Insufficient documentation'],"{'random_forest': 35.625185674434775, 'gradient_boosting': 11.64117620350131, 'isolation_forest': 0.0, 'neural_network': 15.528908371925354}",2025-11-01T11:24:06.727268,Motor,20005.202634915222,Nakuru,2025-07-08 11:21:16.431580
CLM-001211,18.16886100743755,0,10.90131660446253,LOW,APPROVE,[],"{'random_forest': 30.76578186551699, 'gradient_boosting': 22.05382016994762, 'isolation_forest': 0.0, 'neural_network': 19.855841994285583}",2025-11-01T11:24:06.847213,Motor,20741.363611741566,Eldoret,2024-03-13 11:21:16.415738
CLM-008875,17.964768059748543,0,10.778860835849125,LOW,APPROVE,[],"{'random_forest': 45.185979791549464, 'gradient_boosting': 17.846829198524265, 'isolation_forest': 0.0, 'neural_network': 8.82626324892044}",2025-11-01T11:24:06.967178,Liability,72964.37584497279,Garissa,2025-02-18 11:21:16.443187
CLM-001843,60.341365665801106,20,44.20481939948066,LOW,APPROVE,['Insufficient documentation'],"{'random_forest': 66.48948680488871, 'gradient_boosting': 47.22298206005982, 'isolation_forest': 100.0, 'neural_network': 27.65299379825592}",2025-11-01T11:24:07.095778,Property,317019.2646586369,Nyeri,2025-10-05 11:21:16.418022
CLM-005420,11.34405274478173,0,6.806431646869037,LOW,APPROVE,[],"{'random_forest': 23.195153067568885, 'gradient_boosting': 11.419750731630208, 'isolation_forest': 0.0, 'neural_network': 10.761307179927826}",2025-11-01T11:24:07.270761,Marine,45919.716824644725,Kitale,2024-09-19 11:21:16.430738
CLM-009600,22.29780274814335,0,13.37868164888601,LOW,APPROVE,[],"{'random_forest': 52.91298781500095, 'gradient_boosting': 17.817342957636072, 'isolation_forest': 0.0, 'neural_network': 18.46088021993637}",2025-11-01T11:24:07.425536,Medical,45402.31137232282,Kitale,2024-08-17 11:21:16.445750
CLM-001859,12.907653003940094,0,7.744591802364056,LOW,APPROVE,[],"{'random_forest': 28.33046670592467, 'gradient_boosting': 11.93934802380207, 'isolation_forest': 0.0, 'neural_network': 11.36079728603363}",2025-11-01T11:24:07.542774,Aviation,127783.16261641726,Nakuru,2024-04-10 11:21:16.418077
CLM-004014,16.542046746563756,0,9.925228047938253,LOW,APPROVE,[],"{'random_forest': 29.890168489086633, 'gradient_boosting': 18.990339480578264, 'isolation_forest': 0.0, 'neural_network': 17.28767901659012}",2025-11-01T11:24:07.658056,Motor,233612.19111579296,Nakuru,2025-07-12 11:21:16.425749
CLM-002973,14.780639664944072,0,8.868383798966443,LOW,APPROVE,[],"{'random_forest': 27.168129847604668, 'gradient_boosting': 15.566374620105435, 'isolation_forest': 0.0, 'neural_network': 16.388054192066193}",2025-11-01T11:24:07.788346,Medical,17162.595529566035,Nakuru,2025-08-08 11:21:16.422063
CLM-003926,34.49923523646639,0,20.699541141879834,LOW,APPROVE,[],"{'random_forest': 18.629736893585793, 'gradient_boosting': 12.84764577157337, 'isolation_forest': 100.0, 'neural_network': 6.519558280706406}",2025-11-01T11:24:07.907705,Aviation,37801.73908096957,Garissa,2025-03-04 11:21:16.425438
CLM-005816,17.145577994297597,0,10.287346796578557,LOW,APPROVE,[],"{'random_forest': 26.02024395024618, 'gradient_boosting': 17.47661582796197, 'isolation_forest': 0.0, 'neural_network': 25.08545219898224}",2025-11-01T11:24:08.034554,Medical,66669.05689379538,Nairobi,2024-09-21 11:21:16.432147
CLM-006600,30.35158932465564,20,26.210953594793384,LOW,APPROVE,['Insufficient documentation'],"{'random_forest': 57.33796452277634, 'gradient_boosting': 37.0186933501489, 'isolation_forest': 0.0, 'neural_network': 27.049699425697327}",2025-11-01T11:24:08.161309,Medical,106455.52122337173,Mombasa,2024-02-07 11:21:16.435028
CLM-008846,10.671603043849998,0,6.4029618263099985,LOW,APPROVE,[],"{'random_forest': 21.780041806632664, 'gradient_boosting': 8.753912386465613, 'isolation_forest': 0.0, 'neural_network': 12.152457982301712}",2025-11-01T11:24:08.283720,Liability,83896.87896749565,Nairobi,2025-10-20 11:21:16.443086
CLM-000231,45.07574305225132,45,45.04544583135079,LOW,APPROVE,"['High claim amount', 'Insufficient documentation']","{'random_forest': 36.5732698594308, 'gradient_boosting': 28.86928391066303, 'isolation_forest': 100.0, 'neural_network': 14.860418438911438}",2025-11-01T11:24:08.432708,Liability,1568986.0981072146,Eldoret,2023-11-18 11:21:16.412224
CLM-002496,13.929494895537225,0,8.357696937322334,LOW,APPROVE,[],"{'random_forest': 28.78206492541696, 'gradient_boosting': 13.368650278661113, 'isolation_forest': 0.0, 'neural_network': 13.567264378070831}",2025-11-01T11:24:08.551810,Medical,73617.4675765175,Thika,2024-11-01 11:21:16.420362
CLM-009752,10.340843460941313,0,6.204506076564788,LOW,APPROVE,[],"{'random_forest': 16.836019082488818, 'gradient_boosting': 6.955500169906806, 'isolation_forest': 0.0, 'neural_network': 17.57185459136963}",2025-11-01T11:24:08.669262,Medical,132926.0318492385,Kisumu,2025-01-26 11:21:16.446293
CLM-008784,12.470388632119842,0,7.482233179271905,LOW,APPROVE,[],"{'random_forest': 27.565693617475073, 'gradient_boosting': 8.731612189404718, 'isolation_forest': 0.0, 'neural_network': 13.584248721599579}",2025-11-01T11:24:08.796822,Life,361393.80978983495,Eldoret,2025-08-01 11:21:16.442857
CLM-003287,18.43577685182929,40,27.061466111097573,LOW,APPROVE,"['Insufficient documentation', 'No police report for motor claim']","{'random_forest': 38.764997706562795, 'gradient_boosting': 18.57730309493847, 'isolation_forest': 0.0, 'neural_network': 16.400806605815887}",2025-11-01T11:24:08.917784,Motor,283389.87051332404,Thika,2025-06-07 11:21:16.423173
CLM-000845,14.948136965779609,0,8.968882179467766,LOW,APPROVE,[],"{'random_forest': 25.47533328439892, 'gradient_boosting': 13.067689329715154, 'isolation_forest': 0.0, 'neural_network': 21.249525249004364}",2025-11-01T11:24:09.041896,Marine,19201.70336005105,Nakuru,2023-12-06 11:21:16.414418
CLM-000393,12.956099192914222,0,7.773659515748532,LOW,APPROVE,[],"{'random_forest': 22.773484765702477, 'gradient_boosting': 16.271345360332155, 'isolation_forest': 0.0, 'neural_network': 12.779566645622253}",2025-11-01T11:24:09.162392,Marine,37512.84217372577,Nyeri,2024-05-02 11:21:16.412798
CLM-006793,46.72109007711345,0,28.03265404626807,LOW,APPROVE,[],"{'random_forest': 34.722217265315585, 'gradient_boosting': 18.903856924630844, 'isolation_forest': 100.0, 'neural_network': 33.258286118507385}",2025-11-01T11:24:09.294790,Property,8480.266178588297,Kisumu,2024-06-03 11:21:16.435759
CLM-000099,17.2714553295346,20,18.36287319772076,LOW,APPROVE,['Insufficient documentation'],"{'random_forest': 30.203102211176606, 'gradient_boosting': 13.561703391362725, 'isolation_forest': 0.0, 'neural_network': 25.32101571559906}",2025-11-01T11:24:09.471834,Marine,6395.693259218335,Nairobi,2025-03-09 11:21:16.411744
CLM-000804,16.410481646831993,0,9.846288988099195,LOW,APPROVE,[],"{'random_forest': 33.40084041070218, 'gradient_boosting': 15.103105715505185, 'isolation_forest': 0.0, 'neural_network': 17.137980461120605}",2025-11-01T11:24:09.588043,Aviation,48642.28372349957,Nakuru,2025-10-07 11:21:16.414274
CLM-008877,15.40400872845415,0,9.24240523707249,LOW,APPROVE,[],"{'random_forest': 21.77389441676183, 'gradient_boosting': 19.31433957942934, 'isolation_forest': 0.0, 'neural_network': 20.527800917625427}",2025-11-01T11:24:09.714867,Liability,189887.29030515396,Nyeri,2025-04-04 11:21:16.443194
CLM-007513,50.63238295122214,15,36.37942977073328,LOW,APPROVE,['Vague or excessive descriptions'],"{'random_forest': 84.44092472108491, 'gradient_boosting': 79.26883209849026, 'isolation_forest': 0.0, 'neural_network': 38.819774985313416}",2025-11-01T11:24:09.835716,Medical,251279.27877961737,Nairobi,2024-10-11 11:21:16.438322
CLM-002552,15.373481486721433,0,9.22408889203286,LOW,APPROVE,[],"{'random_forest': 27.963499312135127, 'gradient_boosting': 12.85554529567742, 'isolation_forest': 0.0, 'neural_network': 20.67488133907318}",2025-11-01T11:24:09.958856,Liability,12502.941701259604,Mombasa,2025-08-15 11:21:16.420557
CLM-004757,20.452990310311947,20,20.271794186187165,LOW,APPROVE,['Insufficient documentation'],"{'random_forest': 34.03454877151048, 'gradient_boosting': 26.428143318049685, 'isolation_forest': 0.0, 'neural_network': 21.349269151687622}",2025-11-01T11:24:10.083388,Marine,6630.5900277119445,Thika,2024-04-01 11:21:16.428388
CLM-000092,69.73994503651106,65,67.84396702190664,MEDIUM,REVIEW,"['High claim amount', 'Insufficient documentation', 'No police report for motor claim']","{'random_forest': 61.4596326469316, 'gradient_boosting': 59.84001485255194, 'isolation_forest': 100.0, 'neural_network': 57.66013264656067}",2025-11-01T11:24:10.202037,Motor,1076701.91917988,Eldoret,2025-10-09 11:21:16.411719
CLM-003010,12.395644787258849,0,7.437386872355309,LOW,APPROVE,[],"{'random_forest': 29.113948605867947, 'gradient_boosting': 12.233128300125461, 'isolation_forest': 0.0, 'neural_network': 8.235502243041992}",2025-11-01T11:24:10.322448,Medical,8722.862083482243,Eldoret,2023-12-18 11:21:16.422193
CLM-007310,29.629783016240836,20,25.7778698097445,LOW,APPROVE,['Insufficient documentation'],"{'random_forest': 41.19241356218701, 'gradient_boosting': 39.437705808417505, 'isolation_forest': 0.0, 'neural_network': 37.889012694358826}",2025-11-01T11:24:10.441389,Marine,6258.169370316154,Eldoret,2025-08-17 11:21:16.437594
CLM-008689,15.468212617103466,0,9.28092757026208,LOW,APPROVE,[],"{'random_forest': 32.30596348854641, 'gradient_boosting': 10.638481337357991, 'isolation_forest': 0.0, 'neural_network': 18.92840564250946}",2025-11-01T11:24:10.560054,Marine,69071.40451695549,Nairobi,2024-06-04 11:21:16.442524
CLM-003642,9.842644682722376,0,5.905586809633426,LOW,APPROVE,[],"{'random_forest': 13.369068797864248, 'gradient_boosting': 12.746329514533894, 'isolation_forest': 0.0, 'neural_network': 13.255180418491364}",2025-11-01T11:24:10.679223,Marine,191498.28225569602,Kitale,2024-09-13 11:21:16.424427
CLM-003792,17.001449401352524,20,18.20086964081151,LOW,APPROVE,['Insufficient documentation'],"{'random_forest': 29.47393485643896, 'gradient_boosting': 20.571379913201483, 'isolation_forest': 0.0, 'neural_network': 17.960482835769653}",2025-11-01T11:24:10.801108,Medical,46801.911446131955,Eldoret,2024-03-13 11:21:16.424964
CLM-004401,13.830907363526945,20,16.298544418116165,LOW,APPROVE,['Insufficient documentation'],"{'random_forest': 27.775841851024595, 'gradient_boosting': 12.000401791277465, 'isolation_forest': 0.0, 'neural_network': 15.547385811805725}",2025-11-01T11:24:10.920105,Motor,172878.52105198355,Nyeri,2024-06-30 11:21:16.427127
CLM-007635,17.597488561731012,20,18.558493137038607,LOW,APPROVE,['Insufficient documentation'],"{'random_forest': 23.3910159752839, 'gradient_boosting': 19.738351652263017, 'isolation_forest': 0.0, 'neural_network': 27.260586619377136}",2025-11-01T11:24:11.041579,Life,13440.184471727587,Mombasa,2025-09-13 11:21:16.438748
CLM-002116,61.32472608464582,20,44.79483565078749,LOW,APPROVE,['Insufficient documentation'],"{'random_forest': 54.99727324503685, 'gradient_boosting': 59.36981558851867, 'isolation_forest': 100.0, 'neural_network': 30.93181550502777}",2025-11-01T11:24:11.163863,Motor,67915.20945900763,Mombasa,2024-06-10 11:21:16.418994
CLM-003734,14.4966616984838,20,16.69799701909028,LOW,APPROVE,['Insufficient documentation'],"{'random_forest': 27.5433101057294, 'gradient_boosting': 13.19070669285973, 'isolation_forest': 0.0, 'neural_network': 17.25262999534607}",2025-11-01T11:24:11.286748,Aviation,9963.03484684875,Kitale,2025-09-18 11:21:16.424750
CLM-000702,13.94548239137167,0,8.367289434823002,LOW,APPROVE,[],"{'random_forest': 26.403786792549468, 'gradient_boosting': 10.545807896876722, 'isolation_forest': 0.0, 'neural_network': 18.832334876060486}",2025-11-01T11:24:11.410020,Life,44341.441831310716,Nakuru,2025-10-29 11:21:16.413904
CLM-002052,24.49374706443016,20,22.696248238658093,LOW,APPROVE,['Insufficient documentation'],"{'random_forest': 42.17819260579491, 'gradient_boosting': 23.525473043931648, 'isolation_forest': 0.0, 'neural_network': 32.27132260799408}",2025-11-01T11:24:11.545323,Marine,31841.35507625231,Eldoret,2024-08-01 11:21:16.418760
CLM-000620,12.009345514170107,0,7.2056073085020635,LOW,APPROVE,[],"{'random_forest': 21.710575723826718, 'gradient_boosting': 11.903576042440806, 'isolation_forest': 0.0, 'neural_network': 14.423230290412903}",2025-11-01T11:24:11.663887,Aviation,152383.20120437184,Kisumu,2025-05-12 11:21:16.413614
CLM-004756,12.165390156974247,0,7.299234094184548,LOW,APPROVE,[],"{'random_forest': 20.250714992911142, 'gradient_boosting': 10.600138840723915, 'isolation_forest': 0.0, 'neural_network': 17.810706794261932}",2025-11-01T11:24:11.786648,Medical,274796.136108095,Nairobi,2024-07-14 11:21:16.428384
CLM-008799,29.880019499122312,0,17.928011699473387,LOW,APPROVE,[],"{'random_forest': 34.9429937162226, 'gradient_boosting': 11.34274075151908, 'isolation_forest': 0.0, 'neural_network': 73.23434352874756}",2025-11-01T11:24:11.912077,Motor,10879.808959663058,Kitale,2023-11-09 11:21:16.442910
CLM-002517,6.8576582039197085,0,4.114594922351825,LOW,APPROVE,[],"{'random_forest': 16.677466467481473, 'gradient_boosting': 5.921015561082264, 'isolation_forest': 0.0, 'neural_network': 4.832150787115097}",2025-11-01T11:24:12.030991,Liability,34816.570125682454,Kitale,2024-05-23 11:21:16.420435
CLM-008290,25.61356250005597,20,23.368137500033583,LOW,APPROVE,['Insufficient documentation'],"{'random_forest': 45.10824948334215, 'gradient_boosting': 26.60691663073519, 'isolation_forest': 0.0, 'neural_network': 30.739083886146545}",2025-11-01T11:24:12.152144,Life,380522.3477241953,Thika,2024-04-14 11:21:16.441114
CLM-007734,15.328841168725917,0,9.19730470123555,LOW,APPROVE,[],"{'random_forest': 36.334974340447665, 'gradient_boosting': 15.540267789690528, 'isolation_forest': 0.0, 'neural_network': 9.440122544765472}",2025-11-01T11:24:12.270696,Motor,54884.01165560869,Kitale,2024-12-16 11:21:16.439109
CLM-003678,15.470074735778017,20,17.28204484146681,LOW,APPROVE,['Insufficient documentation'],"{'random_forest': 33.43125446654816, 'gradient_boosting': 17.08239773970363, 'isolation_forest': 0.0, 'neural_network': 11.366646736860275}",2025-11-01T11:24:12.388231,Aviation,163162.16204385372,Nakuru,2025-09-22 11:21:16.424555
CLM-006739,51.300919866006666,40,46.780551919603994,LOW,APPROVE,"['Insufficient documentation', 'No police report for motor claim']","{'random_forest': 50.89668567215031, 'gradient_boosting': 27.649430343924063, 'isolation_forest': 100.0, 'neural_network': 26.65756344795227}",2025-11-01T11:24:12.507311,Motor,313464.1773397107,Kitale,2025-09-25 11:21:16.435571
CLM-001563,72.3879500720757,0,43.43277004324542,LOW,APPROVE,[],"{'random_forest': 72.13868079500281, 'gradient_boosting': 62.07563084202435, 'isolation_forest': 100.0, 'neural_network': 55.337488651275635}",2025-11-01T11:24:12.626125,Motor,76897.14966079108,Kitale,2025-08-24 11:21:16.417021
CLM-005559,42.360557048980354,40,41.41633422938821,LOW,APPROVE,"['Insufficient documentation', 'No police report for motor claim']","{'random_forest': 35.77970495392048, 'gradient_boosting': 19.774895819191347, 'isolation_forest': 100.0, 'neural_network': 13.8876274228096}",2025-11-01T11:24:12.777259,Motor,187787.0360496131,Mombasa,2024-12-07 11:21:16.431238
CLM-002701,17.016770804510966,0,10.21006248270658,LOW,APPROVE,[],"{'random_forest': 26.900929107989434, 'gradient_boosting': 15.991330706695969, 'isolation_forest': 0.0, 'neural_network': 25.17482340335846}",2025-11-01T11:24:12.890483,Medical,8558.079445269177,Mombasa,2025-02-23 11:21:16.421095
CLM-002790,51.219446122897615,15,36.73166767373857,LOW,APPROVE,['Vague or excessive descriptions'],"{'random_forest': 81.52410331688806, 'gradient_boosting': 66.95699414391015, 'isolation_forest': 0.0, 'neural_network': 56.396687030792236}",2025-11-01T11:24:13.015319,Motor,118493.49737517367,Mombasa,2024-02-27 11:21:16.421408
CLM-001691,18.98811602872597,20,19.392869617235583,LOW,APPROVE,['Insufficient documentation'],"{'random_forest': 37.739898353342824, 'gradient_boosting': 19.96265171145882, 'isolation_forest': 0.0, 'neural_network': 18.249914050102234}",2025-11-01T11:24:13.132644,Aviation,76997.02010669134,Nyeri,2024-03-05 11:21:16.417472
CLM-003141,20.431796431279896,0,12.259077858767936,LOW,APPROVE,[],"{'random_forest': 45.6690846539732, 'gradient_boosting': 13.915830863741284, 'isolation_forest': 0.0, 'neural_network': 22.14227020740509}",2025-11-01T11:24:13.250633,Liability,83859.59699812252,Malindi,2024-02-28 11:21:16.422651
CLM-006465,12.84585898101598,0,7.707515388609587,LOW,APPROVE,[],"{'random_forest': 24.420344474058187, 'gradient_boosting': 11.064744549065788, 'isolation_forest': 0.0, 'neural_network': 15.898346900939941}",2025-11-01T11:24:13.369156,Marine,203808.7055279097,Eldoret,2024-07-12 11:21:16.434537
CLM-007475,11.022452710932725,0,6.613471626559635,LOW,APPROVE,[],"{'random_forest': 20.344674903434818, 'gradient_boosting': 9.344840027076637, 'isolation_forest': 0.0, 'neural_network': 14.400295913219452}",2025-11-01T11:24:13.520604,Property,24140.483345413846,Mombasa,2025-09-15 11:21:16.438186
CLM-007714,13.606006036978297,20,16.163603622186976,LOW,APPROVE,['Insufficient documentation'],"{'random_forest': 29.670281773434677, 'gradient_boosting': 12.468065030871562, 'isolation_forest': 0.0, 'neural_network': 12.285677343606949}",2025-11-01T11:24:13.649757,Aviation,16333.08904958435,Malindi,2025-04-28 11:21:16.439039
CLM-004163,12.842249748493906,0,7.7053498490963435,LOW,APPROVE,[],"{'random_forest': 23.776010476759613, 'gradient_boosting': 9.034955706527988, 'isolation_forest': 0.0, 'neural_network': 18.55803281068802}",2025-11-01T11:24:13.769344,Property,2940.0356436851193,Kisumu,2025-08-24 11:21:16.426282
CLM-003558,13.401938484081,0,8.0411630904486,LOW,APPROVE,[],"{'random_forest': 24.273942905617425, 'gradient_boosting': 17.444957570156266, 'isolation_forest': 0.0, 'neural_network': 11.888853460550308}",2025-11-01T11:24:13.894087,Liability,10719.559603953661,Nyeri,2025-06-16 11:21:16.424132
CLM-008731,17.88463688616474,20,18.730782131698845,LOW,APPROVE,['Insufficient documentation'],"{'random_forest': 33.98261485580285, 'gradient_boosting': 15.793770241880395, 'isolation_forest': 0.0, 'neural_network': 21.762162446975708}",2025-11-01T11:24:14.017419,Life,87430.31105928168,Kisumu,2024-12-27 11:21:16.442670
CLM-005524,39.02270401749111,0,23.413622410494664,LOW,APPROVE,[],"{'random_forest': 23.148514996328455, 'gradient_boosting': 11.66867319640056, 'isolation_forest': 100.0, 'neural_network': 21.273627877235413}",2025-11-01T11:24:14.145675,Marine,385157.94699597795,Malindi,2024-03-02 11:21:16.431113
CLM-004573,14.316250765622748,0,8.589750459373649,LOW,APPROVE,[],"{'random_forest': 24.443994100253946, 'gradient_boosting': 8.745880824171708, 'isolation_forest': 0.0, 'neural_network': 24.075128138065338}",2025-11-01T11:24:14.266843,Life,8061.999436490049,Mombasa,2024-10-07 11:21:16.427730
CLM-001336,15.844887901942311,25,19.506932741165386,LOW,APPROVE,['High claim amount'],"{'random_forest': 30.197493741949284, 'gradient_boosting': 12.456527479848898, 'isolation_forest': 0.0, 'neural_network': 20.72553038597107}",2025-11-01T11:24:14.388656,Aviation,978855.7139221256,Nyeri,2024-08-05 11:21:16.416210
